file,#,description,eif,value,income-type,income-amount
Ivanka Trump NE278e,8,"55 CHALLENGER ROAD ASSOCIATES, LLC (Commercial Real Estate in Ridgefield Park, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
Ivanka Trump NE278e,9,"570 WEST MT. PLEASANT ASSOCIATES, LLC (Residential Real Estate in Livingston, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Ivanka Trump NE278e,10,"CHATHAM HILL ASSOCIATES, LLC (Residential Real Estate in Chatham, NJ)",N/A,"$1,001 - $15,000",Rent or Royalties,"$201 - $1,000"
Ivanka Trump NE278e,11,"GELLERT 80 WEST END, LLC (Residential and Commercial Real Estate in Long Branch, NJ and Astoria, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Ivanka Trump NE278e,12,"K 30 JOURNAL Manager Corp. (Undeveloped Real Estate in Jersey City, NJ)",N/A,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,13,"K MARYLAND ASSOCIATES, LLC (Residential Real Estate in Baltimore & Prince George’s County, MD)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Ivanka Trump NE278e,14,"KUSHNER MIDWEST PARTNERS 1 LLC (Residential Real Estate in Toledo, Middletown, Akron & Bedford Heights, OH, Pittsburgh, PA & Speedway, IN)",N/A,"$5,000,001 - $25,000,000",Rent or Royalties,"Over $5,000,000"
Ivanka Trump NE278e,15,"NEW PUCK CORP. (Commercial Real Estate in New York, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$50,001 - $100,000"
Ivanka Trump NE278e,16,"TIMES SQUARE ASSOCIATES, LLC (Commercial Real Estate in New York, NY)",N/A,"$5,000,001 - $25,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
Ivanka Trump NE278e,17,"411 WEST PUTNAM AVENUE (Commercial Real Estate in Greenwich, CT)",N/A,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,18,"KUSHNER CREDIT OPPORTUNITY FUND, LLC (Management Company; New York, NY)",N/A,"$15,001 - $50,000",,None (or less than $201)
Ivanka Trump NE278e,19,"BFPS VENTURES, LLC (holding company; New York, NY)",No,"$5,000,001 - $25,000,000",Capital Gains Rent or Royalties,"$1,000,001 - $5,000,000"
Ivanka Trump NE278e,,,,,,AMOUNT
Ivanka Trump NE278e,19.1,U.S. bank account #2 (cash),N/A,"$100,001 - $250,000",,None (or less than $201)
Ivanka Trump NE278e,19.2,U.S. money market account #2 (cash),N/A,"$15,001 - $50,000",,None (or less than $201)
Ivanka Trump NE278e,19.3,"Quadro Partners (d/b/a Cadre) (Real Estate Investment Platform in New York, NY)",N/A,"$5,000,001 - $25,000,000",,None (or less than $201)
Ivanka Trump NE278e,19.4,"Kushner Village 2 Member LLC (Rental Apartments in New York, NY)",N/A,"None (or less than $1,001)",Capital Gains Rent or Royalties,"$100,001 - $1,000,000"
Ivanka Trump NE278e,19.5,"2 Rector Kushner Member LLC (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Capital Gains,"$1,000,001 - $5,000,000"
Ivanka Trump NE278e,19.6,Kaszek Ventures II (Venture Capital Fund),No,"None (or less than $1,001)",Capital Gains,"$1,001 - $2,500"
Ivanka Trump NE278e,19.7,Sixty Capital Fund (Hedge Fund),No,"None (or less than $1,001)",Dividends Capital Gains Interest,"$15,001 - $50,000"
Ivanka Trump NE278e,19.8,FabFitFun (Beauty and Wellness Subscription Service),N/A,"None (or less than $1,001)",,None (or less than $201)
Ivanka Trump NE278e,19.9,"JCK Cadre LLC (prior holding company for Quadro Partners; New York, NY)",N/A,"None (or less than $1,001)",Capital Gains,"$100,001 - $1,000,000"
Ivanka Trump NE278e,19.10,Contingent rights to ownership interests in entities holding real estate directly or indirectly (value not readily ascertainable) (entities listed in endnote),N/A,,,None (or less than $201)
Ivanka Trump NE278e,20,"BROADBAND PROLIFERATION PARTNERS, LLC (WiredScore; New York, NY)",N/A,"$5,000,001 - $25,000,000",Ordinary Business Income,"$4,500,000"
Ivanka Trump NE278e,21,"REGAL BANK (Shares of Corp. Stock; Livingston, NJ)",N/A,"None (or less than $1,001)",Capital Gains,"$100,001 - $1,000,000"
Ivanka Trump NE278e,22,"JKM CAPITAL, LLC (interest in venture capital fund; New York, NY)",No,"None (or less than $1,001)",Capital Gains,"$100,001 - $1,000,000"
Ivanka Trump NE278e,23,"THRIVE PARTNERS II GP, LLC (interest in venture capital fund; New York, NY)",No,"None (or less than $1,001)",Capital Gains,"$1,000,001 - $5,000,000"
Ivanka Trump NE278e,,,,,,AMOUNT
Ivanka Trump NE278e,24,"THRIVE PARTNERS III GP, LLC (interest in venture capital fund; New York, NY)",No,"None (or less than $1,001)",Capital Gains,"Over $5,000,000"
Ivanka Trump NE278e,25,"JK Thrive IV LLC (interest in venture capital fund; New York, NY)",No,"None (or less than $1,001)",Capital Gains,"$1,000,001 - $5,000,000"
Ivanka Trump NE278e,26,"JK Thrive V LLC (interest in venture capital fund; New York, NY)",No,"None (or less than $1,001)",Capital Gains,"$201 - $1,000"
Ivanka Trump NE278e,27,U.S. money market account #3 (cash),N/A,"$1,000,001 - $5,000,000",Interest,"$201 - $1,000"
Ivanka Trump NE278e,28,U.S. bank account #3 (cash),N/A,"$50,001 - $100,000",,None (or less than $201)
Ivanka Trump NE278e,29,U.S. money market account #4 (cash),N/A,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,30,U.S. bank account #4 (cash),N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Ivanka Trump NE278e,31,U.S. bank account #5 (cash),N/A,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,32,U.S. bank account #6 (cash),N/A,"$100,001 - $250,000",Interest,"$201 - $1,000"
Ivanka Trump NE278e,33,U.S. bank account #7 (cash),N/A,"$250,001 - $500,000",,None (or less than $201)
Ivanka Trump NE278e,34,"Pepsico, Inc. (28 shares)",N/A,"None (or less than $1,001)",Capital Gains,"$5,001 - $15,000"
Ivanka Trump NE278e,35,"Yum Brands, Inc. (8 shares)",N/A,"None (or less than $1,001)",Capital Gains,"$201 - $1,000"
Ivanka Trump NE278e,36,U.S. bank account #8 (cash),N/A,"$100,001 - $250,000",,None (or less than $201)
Ivanka Trump NE278e,37,EATON VANCE ATLANTA CAP SMID CAP FUND CLASS I (EISMX),Yes,"$250,001 - $500,000",,"$5,001 - $15,000"
Ivanka Trump NE278e,38,ISHARES MSCI EAFE ETF (EFA),Yes,"$50,001 - $100,000",,None (or less than $201)
Ivanka Trump NE278e,39,OPPENHEIMER DEVELOPING MARKETS CLASS Y (ODVYX),Yes,"$250,001 - $500,000",,"$5,001 - $15,000"
Ivanka Trump NE278e,,,,,,AMOUNT
Ivanka Trump NE278e,40,POWERSHARES S&P 500 LOW VOLATILITY PORTFOLIO ETF (SPLV),Yes,"$100,001 - $250,000",,"$15,001 - $50,000"
Ivanka Trump NE278e,41,THORNBURG INTL VALUE FUND I (TGVIX),Yes,"$500,001 - $1,000,000",,"$201 - $1,000"
Ivanka Trump NE278e,42,VANGUARD GROWTH ETF (VUG),Yes,"$250,001 - $500,000",,"$2,501 - $5,000"
Ivanka Trump NE278e,43,VANGUARD VALUE ETF (VTV),Yes,"$100,001 - $250,000",,"$1,001 - $2,500"
Ivanka Trump NE278e,44,VIRTUS SMALL-CAP CORE FUND CLASS I (PKSFX),Yes,"$100,001 - $250,000",,"$5,001 - $15,000"
Ivanka Trump NE278e,45,HARTFORD WORLD BOND FUND I (HWDIX),Yes,"$250,001 - $500,000",,None (or less than $201)
Ivanka Trump NE278e,46,LORD ABBETT INTERMEDIATE TAX FREE FUND CLASS F (LISFX),Yes,"$1,000,001 - $5,000,000",,"$15,001 - $50,000"
Ivanka Trump NE278e,47,LORD ABBETT HIGH YIELD FUND CLASS F (LHYFX),Yes,"$250,001 - $500,000",,"$15,001 - $50,000"
Ivanka Trump NE278e,48,RIVERNORTH/DOUBLELINE STRATEGIC INCOME FUND I (RNSIX),Yes,"$100,001 - $250,000",,"$5,001 - $15,000"
Ivanka Trump NE278e,49,TEMPLETON GLOBAL BOND ADV (TGBAX),Yes,"$100,001 - $250,000",,"$2,501 - $5,000"
Ivanka Trump NE278e,50,VANGUARD TOTAL BOND MKT ETF (BND),Yes,"$100,001 - $250,000",,None (or less than $201)
Ivanka Trump NE278e,51,WELLS FARGO INTERMEDIATE TAX/AMTFREE FUND CLASS INST (WITIX),Yes,"$1,000,001 - $5,000,000",,"$15,001 - $50,000"
Ivanka Trump NE278e,52,VAN ECK CM COMMODITY INDEX FUND Y (CMCYX),Yes,"$250,001 - $500,000",,"$15,001 - $50,000"
Ivanka Trump NE278e,53,U.S. bank account #9 (cash),N/A,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,54,Blackstone Strategic Alliance Fund II LP,Yes,"$250,001 - $500,000",,"$100,001 - $1,000,000"
Ivanka Trump NE278e,55,A&Q LONG/SHORT STRATEGIES FUND LLC PROMISSORY NOTE,N/A,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,,,,,,AMOUNT
Ivanka Trump NE278e,56,PIMCO RAE FUNDAMENTAL ADVANTAGE PLUS FUND CLASS P (PFATX),Yes,"None (or less than $1,001)",,"$2,501 - $5,000"
Ivanka Trump NE278e,57,POWERSHARES S&P 500 DOWNSIDE HEDGED PORTFOLIO ETF (PHDG),Yes,"None (or less than $1,001)",,"$1,001 - $2,500"
Ivanka Trump NE278e,58,U.S. bank account #10 (cash),N/A,"$250,001 - $500,000",,None (or less than $201)
Ivanka Trump NE278e,59,UBS RMA Government money market fund (RMGXX),Yes,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,60,EATON VANCE ATLANTA CAP SMID CAP FUND CLASS I (EISMX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
Ivanka Trump NE278e,61,SIGNATURE BANK NEW YORK NY,N/A,"None (or less than $1,001)",Capital Gains,"$15,001 - $50,000"
Ivanka Trump NE278e,62,PIMCO TOTAL RETURN FUND CLASS P (PTTPX),Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
Ivanka Trump NE278e,63,FIRST EAGLE GLOBAL FUNDS CLASS I (SGIIX),Yes,"$15,001 - $50,000",,"$5,001 - $15,000"
Ivanka Trump NE278e,64,U.S. bank account #11 (cash),N/A,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,65,EATON VANCE ATLANTA CAP SMID CAP FUND CLASS I (EISMX),Yes,"$15,001 - $50,000",,None (or less than $201)
Ivanka Trump NE278e,66,SIGNATURE BANK NEW YORK NY,N/A,"None (or less than $1,001)",Capital Gains,"$15,001 - $50,000"
Ivanka Trump NE278e,67,PIMCO TOTAL RETURN FUND CLASS P (PTTPX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
Ivanka Trump NE278e,68,FIRST EAGLE GLOBAL FUNDS CLASS I (SGIIX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
Ivanka Trump NE278e,69,PRINCIPAL SM-MD CP DIV P (PMDPX),Yes,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,70,SIGNATURE BANK NEW YORK NY,N/A,"None (or less than $1,001)",Capital Gains,"$5,001 - $15,000"
Ivanka Trump NE278e,71,PIMCO TOTAL RETURN FUND CLASS P (PTTPX),Yes,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,,,,,,AMOUNT
Ivanka Trump NE278e,72,FIRST EAGLE GLOBAL FUNDS CLASS I (SGIIX),Yes,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,73,EuroPacific Growth Fund - 529-A (1016) (CEUAX),Yes,"$50,001 - $100,000",,None (or less than $201)
Ivanka Trump NE278e,74,Washington Mutual Investors Fund - 529-A (1001) (CWMAX),Yes,"$100,001 - $250,000",,None (or less than $201)
Ivanka Trump NE278e,75,EuroPacific Growth Fund - 529-A (1016) (CEUAX),Yes,"$50,001 - $100,000",,None (or less than $201)
Ivanka Trump NE278e,76,Washington Mutual Investors Fund - 529-A (1001) (CWMAX),Yes,"$100,001 - $250,000",,None (or less than $201)
Ivanka Trump NE278e,77,EuroPacific Growth Fund - 529-A (1016) (CEUAX),Yes,"$50,001 - $100,000",,None (or less than $201)
Ivanka Trump NE278e,78,Washington Mutual Investors Fund - 529-A (1001) (CWMAX),Yes,"$50,001 - $100,000",,None (or less than $201)
Ivanka Trump NE278e,79,"502 6G LLC (Residential Real Estate in New York, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Ivanka Trump NE278e,80,"K MARYLAND ASSOCIATES, LLC (Residential Real Estate in Baltimore, Garrett & Prince George, MD)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Ivanka Trump NE278e,81,"KUSHNER MIDWEST PARTNERS 1 LLC (Residential Real Estate in Toledo, Middletown, Akron & Bedford Heights, OH, Pittsburgh, PA & Speedway, IN)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
Ivanka Trump NE278e,82,"Flatbush 340 Lender LLC (Loan Receivable from 9 Dekalb Owner LLC; Brooklyn, NY)",N/A,"$100,001 - $250,000",Interest,"$15,001 - $50,000"
Ivanka Trump NE278e,83,The Obsidian Fund LLC Class C,Yes,"$1,000,001 - $5,000,000",,"$100,001 - $1,000,000"
Ivanka Trump NE278e,84,Hennessy Gas Utility Index Fund Investor Class Shares (GASFX),Yes,"None (or less than $1,001)",,"$15,001 - $50,000"
Ivanka Trump NE278e,85,ISHARES 20+ YEAR TREAS BOND ETF (TLT),Yes,"None (or less than $1,001)",,"$15,001 - $50,000"
Ivanka Trump NE278e,86,JP MORGAN CORE BOND FUND SELECT (WOBDX),Yes,"None (or less than $1,001)",,"$201 - $1,000"
Ivanka Trump NE278e,,,,,,AMOUNT
Ivanka Trump NE278e,87,NUVEEN ENHANCED AMT-FREE MUNICIPAL CREDIT OPPORTUNITIES FUND (NVG),Yes,"None (or less than $1,001)",,"$5,001 - $15,000"
Ivanka Trump NE278e,88,PIMCO ENHANCED SHORT MAT ACTIVE ETF (MINT),Yes,"None (or less than $1,001)",,"$1,001 - $2,500"
Ivanka Trump NE278e,89,SIGNATURE BANK NEW YORK NY,N/A,"None (or less than $1,001)",Capital Gains,"$100,001 - $1,000,000"
Ivanka Trump NE278e,90,TEMPLETON GLOBAL INCOME FUND (GIM),Yes,"None (or less than $1,001)",,"$2,501 - $5,000"
Ivanka Trump NE278e,91,BOEING COMPANY,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Ivanka Trump NE278e,92,DOMINION RESOURCES INC VA,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Ivanka Trump NE278e,93,ISHARES MSCI EAFE ETF (EFA),Yes,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,94,HOME DEPOT INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Ivanka Trump NE278e,95,MICROSOFT CORP,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Ivanka Trump NE278e,96,NEXTERA ENERGY INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Ivanka Trump NE278e,97,OPPENHEIMER DEVELOPING MARKETS (ODVYX),Yes,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,98,ROCKWELL AUTOMATION INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Ivanka Trump NE278e,99,SCHLUMBERGER LTD NETHERLANDS ANTILLES,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Ivanka Trump NE278e,100,VANGUARD VALUE ETF (VTV),Yes,"$15,001 - $50,000",,None (or less than $201)
Ivanka Trump NE278e,101,VANGUARD GROWTH ETF (VUG),Yes,"$15,001 - $50,000",,None (or less than $201)
Ivanka Trump NE278e,102,EATON VANCE GLOBAL MACRO ABSOLUTE RETURN ADV FUND (EGRIX),Yes,"None (or less than $1,001)",,"$201 - $1,000"
Ivanka Trump NE278e,,,,,,AMOUNT
Ivanka Trump NE278e,103,BOEING COMPANY,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Ivanka Trump NE278e,104,DOMINION RESOURCES INC VA,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Ivanka Trump NE278e,105,HOME DEPOT INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Ivanka Trump NE278e,106,MICROSOFT CORP,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Ivanka Trump NE278e,107,NEXTERA ENERGY INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Ivanka Trump NE278e,108,OPPENHEIMER DEVELOPING MARKETS (ODVYX),Yes,"$15,001 - $50,000",,None (or less than $201)
Ivanka Trump NE278e,109,PRINCIPAL SM-MID CP DIV P (PMDPX),Yes,"$50,001 - $100,000",,None (or less than $201)
Ivanka Trump NE278e,110,ROCKWELL AUTOMATION INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Ivanka Trump NE278e,111,SCHLUMBERGER LTD NETHERLANDS ANTILLES,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Ivanka Trump NE278e,112,VANGUARD VALUE ETF (VTV),Yes,"$15,001 - $50,000",,None (or less than $201)
Ivanka Trump NE278e,113,VANGUARD GROWTH ETF (VUG),Yes,"$15,001 - $50,000",,None (or less than $201)
Ivanka Trump NE278e,114,BOEING COMPANY,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Ivanka Trump NE278e,115,DOMINION RESOURCES INC VA,N/A,"None (or less than $1,001)",,None (or less than $201)
Ivanka Trump NE278e,116,HOME DEPOT INC,N/A,"None (or less than $1,001)",,None (or less than $201)
Ivanka Trump NE278e,117,ISHARES MSCI EAFE ETF (EFA),Yes,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,118,MICROSOFT CORP,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Ivanka Trump NE278e,,,,,,AMOUNT
Ivanka Trump NE278e,119,NEXTERA ENERGY INC,N/A,"None (or less than $1,001)",,None (or less than $201)
Ivanka Trump NE278e,120,OPPENHEIMER DEVELOPING MARKETS (ODVYX),Yes,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,121,ROCKWELL AUTOMATION INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Ivanka Trump NE278e,122,SCHLUMBERGER LTD NETHERLANDS ANTILLES,N/A,"None (or less than $1,001)",,None (or less than $201)
Ivanka Trump NE278e,123,VANGUARD VALUE ETF (VTV),Yes,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,124,VANGUARD GROWTH ETF (VUG),Yes,"$1,001 - $15,000",,None (or less than $201)
Ivanka Trump NE278e,125,"80 ML, LLC (Commercial real estate in New York, NY)",N/A,"$1,001 - $15,000",Rent or Royalties,"$201 - $1,000"
Ivanka Trump NE278e,126,"KF MIDDLE RIVER, LLC (Residential real estate in Middle River & Essex, MD)",N/A,"$1,001 - $15,000",Rent or Royalties,"$201 - $1,000"
Ivanka Trump NE278e,127,"KF WESTWOOD PARTNER, LLC (Residential real estate in Westwood & River Vale, NJ)",N/A,"None (or less than $1,001)",Rent or Royalties,"$1,001 - $2,500"
Ivanka Trump NE278e,128,"WESTMINSTER TITLE ASSOCIATES, LLC (Insurance brokerage license; Florham Park, NJ)",N/A,"None (or less than $1,001)",Brokerage commissions,"$157,947"
Ivanka Trump NE278e,129,"BRUCKNER PLAZA CENTER CORP. (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Capital Gains Rent or Royalties,"$100,001 - $1,000,000"
Ivanka Trump NE278e,130,NEWS CORPORATION,N/A,"None (or less than $1,001)",Capital Gains,"$1,001 - $2,500"
Ivanka Trump NE278e,131,21ST CENTURY FOX,N/A,"None (or less than $1,001)",Capital Gains,"$5,001 - $15,000"
